current_path,previous_path,proposed_final_path,role,action,phase,area,risk_level,rationale
educator/03-student-disclosure-template.md,STUDENT_DISCLOSURE_TEMPLATE.md,educator/03-student-disclosure-template.md,educator resource,completed_migration,current,educator,medium,final naming-stable path; previous_path records migration source where applicable
educator/04-instructor-checklist.md,,educator/04-instructor-checklist.md,educator resource,keep,current,educator,medium,canonical current path
educator/05-review-protocol.md,,educator/05-review-protocol.md,educator resource,keep,current,educator,medium,canonical current path
educator/06-evidence-rubric.md,,educator/06-evidence-rubric.md,educator resource,keep,current,educator,medium,canonical current path
educator/07-course-integration.md,COURSE_INTEGRATION.md,educator/07-course-integration.md,educator resource,completed_migration,current,educator,medium,final naming-stable path; previous_path records migration source where applicable
educator/08-deployment-one-page.md,,educator/08-deployment-one-page.md,educator resource,keep,current,educator,medium,canonical current path
educator/09-project-kit-notice.md,PROJECT_KIT_NOTICE.md,educator/09-project-kit-notice.md,educator resource,completed_migration,current,educator,medium,final naming-stable path; previous_path records migration source where applicable
release/file-rename-map.csv,release/rename-map.csv,release/file-rename-map.csv,release evidence,completed_phase13,13,release,high,final naming-stable path; previous_path records migration source where applicable
release/final-audit-report.json,,release/final-audit-report.json,release evidence,added_phase13,13,release,medium,final naming-stable path; previous_path records migration source where applicable
release/final-audit-summary.md,,release/final-audit-summary.md,release evidence,added_phase13,13,release,medium,final naming-stable path; previous_path records migration source where applicable
release/release-manifest.json,RELEASE_MANIFEST.json,release/release-manifest.json,release evidence,completed_phase13,13,release,low,final naming-stable path; previous_path records migration source where applicable
src/codeprobe_engine/README.md,,src/codeprobe_engine/README.md,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/__init__.py,,src/codeprobe_engine/__init__.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/api.py,,src/codeprobe_engine/api.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/metrics.py,,src/codeprobe_engine/metrics.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/paths.py,,src/codeprobe_engine/paths.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/process_control.py,,src/codeprobe_engine/process_control.py,maintainer engine support module,added_audit_phase4c,audit-4c,src,high,single bounded process-execution and process-tree containment boundary
src/codeprobe_engine/project_io.py,,src/codeprobe_engine/project_io.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/release.py,,src/codeprobe_engine/release.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_engine/server.py,,src/codeprobe_engine/server.py,maintainer engine support module,added_audit_phase4c,audit-4c,src,high,allowlisted local static-server policy and request handling
src/codeprobe_engine/version.py,,src/codeprobe_engine/version.py,maintainer engine support module,keep,current,src,high,canonical current path
src/codeprobe_runtime.py,src/engine.py,src/codeprobe_runtime.py,browser-compatible analysis runtime,completed_migration,current,src,high,final naming-stable path; previous_path records migration source where applicable
tests/test_app_runtime_tools_paths.py,,tests/test_app_runtime_tools_paths.py,regression test,keep,current,tests,high,canonical current path
tests/test_browser_security.py,,tests/test_browser_security.py,regression test,keep,current,tests,high,canonical current path
tests/test_calibration_profiles.py,,tests/test_calibration_profiles.py,regression test,keep,current,tests,high,canonical current path
tests/test_coverage_policy.py,,tests/test_coverage_policy.py,regression test,added_audit_phase4d,audit-4d,tests,high,"coverage policy, floor and required-CI regressions"
tests/test_dependency_boundary.py,,tests/test_dependency_boundary.py,regression test,added_audit_phase4,audit-4,tests,high,added during hostile audit Phase 4 to guard dependency-boundary enforcement
tests/test_documentation_resources.py,,tests/test_documentation_resources.py,regression test,keep,current,tests,high,canonical current path
tests/test_dynamic_ui_review.py,,tests/test_dynamic_ui_review.py,regression test,keep,current,tests,high,canonical current path
tests/test_false_positive_controls.py,,tests/test_false_positive_controls.py,regression test,keep,current,tests,high,canonical current path
tests/test_final_naming_release.py,,tests/test_final_naming_release.py,regression test,added_phase13,13,tests,medium,final naming-stable path; previous_path records migration source where applicable
tests/test_final_naming_stability.py,,tests/test_final_naming_stability.py,regression test,added_phase13,13,tests,medium,final naming-stable path; previous_path records migration source where applicable
tests/test_final_package_audit.py,,tests/test_final_package_audit.py,regression test,added_phase13,13,tests,medium,final naming-stable path; previous_path records migration source where applicable
tests/test_final_release_audit.py,,tests/test_final_release_audit.py,regression test,added_phase13,13,tests,medium,final naming-stable path; previous_path records migration source where applicable
tests/test_github_zip_roots.py,,tests/test_github_zip_roots.py,regression test,keep,current,tests,high,canonical current path
tests/test_institutional_packaging.py,,tests/test_institutional_packaging.py,regression test,keep,current,tests,high,canonical current path
tests/test_javascript_parser.py,,tests/test_javascript_parser.py,regression test,keep,current,tests,high,canonical current path
tests/test_local_server.py,,tests/test_local_server.py,regression test,added_audit_phase4c,audit-4c,tests,high,"local-server allowlist, path and HTTP-method regressions"
tests/test_process_control.py,,tests/test_process_control.py,regression test,added_audit_phase4c,audit-4c,tests,high,"bounded output, timeout, environment and process-tree regressions"
tests/test_project_mode.py,,tests/test_project_mode.py,regression test,keep,current,tests,high,canonical current path
tests/test_pyodide_fixture.py,,tests/test_pyodide_fixture.py,regression test,added_audit_phase4f1,audit-4f1,tests,high,hermetic regression coverage for authenticated Pyodide fixture preparation
tests/test_pyodide_provenance.py,,tests/test_pyodide_provenance.py,regression test,added_audit_phase4c,audit-4c,tests,high,Pyodide production configuration and provenance regressions
tests/test_reference_integrity.py,,tests/test_reference_integrity.py,regression test,keep,current,tests,high,canonical current path
tests/test_release_integrity.py,,tests/test_release_integrity.py,regression test,keep,current,tests,high,canonical current path
tests/test_release_metadata.py,,tests/test_release_metadata.py,regression test,keep,current,tests,high,canonical current path
tests/test_release_reproducibility.py,,tests/test_release_reproducibility.py,regression test,added_audit_phase4,audit-4,tests,high,added during hostile audit Phase 4 to guard clone and archive safety
tests/test_report_schema.py,,tests/test_report_schema.py,regression test,keep,current,tests,high,canonical current path
tests/test_runtime_smoke.py,,tests/test_runtime_smoke.py,regression test,keep,current,tests,high,canonical current path
tools/README.md,,tools/README.md,command-line or release utility,keep,current,tools,high,canonical current path
tools/analyze_project.py,src/analyze_project.py,tools/analyze_project.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/audit_institutional_pack.py,src/institutional_audit.py,tools/audit_institutional_pack.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/build_release.py,src/build_release.py,tools/build_release.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/calibrate_corpus.py,src/calibrate_corpus.py,tools/calibrate_corpus.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/calibrate_profile.py,src/calibrate_profile.py,tools/calibrate_profile.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/check_browser_accessibility.js,,tools/check_browser_accessibility.js,command-line or release utility,added_audit_phase4b,audit-4b,tools,high,dependency-free real-browser accessibility gate used by required CI
tools/check_browser_functional.js,,tools/check_browser_functional.js,command-line or release utility,added_audit_phase4f1,audit-4f1,tools,high,required real-browser analysis export and runtime-tamper gate
tools/check_coverage.py,,tools/check_coverage.py,command-line or release utility,added_audit_phase4d,audit-4d,tools,high,deterministic supported-code line-coverage gate
tools/check_dependency_boundary.py,,tools/check_dependency_boundary.py,command-line or release utility,added_audit_phase4,audit-4,tools,high,added during hostile audit Phase 4 to verify the offline dependency contract
tools/check_file_references.py,tools/check_references.py,tools/check_file_references.py,command-line or release utility,completed_phase13,13,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/check_naming.py,,tools/check_naming.py,command-line or release utility,added_phase13,13,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/check_pyodide_provenance.py,,tools/check_pyodide_provenance.py,command-line or release utility,added_audit_phase4c,audit-4c,tools,high,static validation of measured Pyodide core-startup provenance
tools/check_release.py,src/release_check.py,tools/check_release.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/check_release_reproducibility.py,,tools/check_release_reproducibility.py,command-line or release utility,added_audit_phase4,audit-4,tools,high,added during hostile audit Phase 4 to compare Git exports and release packets
tools/compare_releases.py,,tools/compare_releases.py,command-line or release utility,keep,current,tools,high,canonical current path
tools/coverage-policy.json,,tools/coverage-policy.json,command-line or release utility,added_audit_phase4d,audit-4d,tools,high,version-pinned supported-code coverage policy and non-regression floors
tools/final_audit.py,,tools/final_audit.py,command-line or release utility,added_phase13,13,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/prepare_pyodide_fixture.py,,tools/prepare_pyodide_fixture.py,command-line or release utility,added_audit_phase4f1,audit-4f1,tools,high,bounded exact-hash preparation of the functional Pyodide fixture
tools/run_local_server.py,src/run_local_server.py,tools/run_local_server.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
tools/validate_release.py,src/validate_release.py,tools/validate_release.py,command-line or release utility,completed_migration,current,tools,high,final naming-stable path; previous_path records migration source where applicable
